razao_social_osc,nome_fantasia_osc,natureza_juridica,ano_inicio,classe_atividade_economica,subclasse_atividade_economica,bairro,area_atuacao,subarea_atuacao
GRUPO DE ACAO SOCIAL SANTO ANTONIO,GASSA,Associação Privada,1976,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila belmiro,desenvolvimento e defesa de direitos,outros
SOCIEDADE ASSISTENCIAL SAO BENEDITO,NÃO INFORMADO,Associação Privada,1976,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,embare,desenvolvimento e defesa de direitos,outros
IGREJA EVANGELICA TRIUNFANTE,IGREJA EVANGELICA TRIUNFANTE,Associação Privada,1976,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,macuco,religião,religião
OURO VERDE F C,NÃO INFORMADO,Associação Privada,1977,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",marape,cultura e recreação,esporte e recreação
CLUBE DE MALHA SIQUEIRA CAMPOS,NÃO INFORMADO,Associação Privada,1976,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",macuco,cultura e recreação,esporte e recreação
CENTRO COMUNITARIO MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO,ALENCAR CASTELO BRANCO,Associação Privada,1975,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,aparecida,desenvolvimento e defesa de direitos,outros
CENTRO COMUN DO CONJ RESI MAL ARTUR DA COSTA E SILVA,NÃO INFORMADO,Associação Privada,1976,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,jardim castelo,desenvolvimento e defesa de direitos,outros
IGREJA BATISTA PENIEL,CONGREGACAO PENIEL SANTOS,Organização Religiosa,1991,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,vila mathias,religião,religião
IGREJA BATISTA PENIEL,CONGR DA IGR BATISTA PENIEL QUINTA RENOV DO LITORAL,Organização Religiosa,1993,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,chico de paula,religião,religião
IGREJA BATISTA PENIEL,CONGR DA IGR BATISTA PENIEL DECIMA TER RENV DO LITORAL,Organização Religiosa,1999,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,centro,religião,religião
