razao_social_osc,nome_fantasia_osc,natureza_juridica,ano_inicio,classe_atividade_economica,subclasse_atividade_economica,bairro,area_atuacao,subarea_atuacao
"INSTITUTO ANIMA SOCIESC DE INOVACAO, PESQUISA E CULTURA",NÃO INFORMADO,Associação Privada,2005,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila mathias,desenvolvimento e defesa de direitos,outros
ASSOCIACAO BENEFICIENTE FAMILIAR BELEM DE CRIANCAS E ADOLESCENTES CARENTES,ABEFAC,Associação Privada,2012,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,macuco,desenvolvimento e defesa de direitos,outros
CLUBE DOS CORRETORES DE SEGUROS DA COSTA DA MATA ATLANTICA,MESMO,Associação Privada,2003,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,vila mathias,"associações patronais, profissionais e de produtores rurais",associações profissionais
ASSOCIACAO M2 NETWORK,NÃO INFORMADO,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,vila mathias,"associações patronais, profissionais e de produtores rurais",associações empresariais e patronais
FRATERNIDADE DE ALIANCA TOCA DE ASSIS,TOCA DE ASSIS,Associação Privada,2002,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,encruzilhada,religião,religião
ASSOCIACAO DOS COMBATENTES DE 1932 - DE SANTOS,NÃO INFORMADO,Associação Privada,1997,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,centro,desenvolvimento e defesa de direitos,outros
AFABAN - ASSOCIACAO DOS FUNCIONARIOS APOSENTADOS E PENSIONISTAS DO BANCO DO ESTADO DE SAO PAULO DA BAIXADA SANTISTA,AFABAN,Associação Privada,1997,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,boqueirao,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO PALACIO MACONICO DE SANTOS,ASSOCIACAO PALACIO PACONICO DE SANTOS,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,macuco,desenvolvimento e defesa de direitos,outros
ASSOC.CESS.MODULOS DO SPECIAL CAMPING,ACMSC,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,centro,desenvolvimento e defesa de direitos,outros
INSTITUTO DE PRESERVACAO E DIFUSAO DA HISTORIA DO CAFE E DA IMIGRACAO,NÃO INFORMADO,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,centro,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DE CRIANCAS ESPECIAIS DE SANTOS - ACES,ESCOLA DE EDUCACAO ESPECIAL WALTER BERGAMO,Associação Privada,1998,Ensino fundamental,Ensino fundamental,campo grande,educação e pesquisa,ensino fundamental
ASSOCIACAO BRASILEIRA DE TERMINAIS DE LIQUIDOS,ABTL,Associação Privada,1998,Atividades de organizações associativas patronais e empresariais,Atividades de organizações associativas patronais e empresariais,vila mathias,desenvolvimento e defesa de direitos,outros
ASSOCIACAO FABRICA DE SOLIDARIEDADE,NÃO INFORMADO,Associação Privada,1998,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,morro sao bento,educação e pesquisa,educação infantil
CENTRO DE ESTUDOS UNIFICADOS BANDEIRANTE,CEUBAN,Associação Privada,1996,Educação superior - graduação,Educação superior - graduação,vila matias,educação e pesquisa; outras atividades associativas; saúde,associações de atividades não especificadas anteriormente
ASSOCIACAO PLURAL,PLURAL,Associação Privada,1999,"Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais","Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais",vila mathias,saúde,outros serviços de saúde
INSTITUTO OSVALDO DE ROSIS,A. B. O. R.,Associação Privada,1999,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ponta da praia,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DAS ENTIDADES USUARIAS DE CANAL COMUNITARIO EM SANTOS,TV COM SANTOS,Associação Privada,1999,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila belmiro,desenvolvimento e defesa de direitos; outras atividades associativas,associações de atividades não especificadas anteriormente
INCATEP INSTITUTO DE CAPACITACAO TECNICA PROFISSIONAL,GRUPO INCATEP,Associação Privada,1999,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,estuario,desenvolvimento e defesa de direitos,outros
ASSOCIACAO BENEFICENTE SONY BARSOTTI MEY,NÃO INFORMADO,Associação Privada,1999,Educação infantil - creche,Educação infantil - creche,encruzilhada,educação e pesquisa,educação infantil
ASSOCIACAO BENEFICENTE MAOS ENTRELACADAS,GREMIO RECR. CULTURAL ACADEMIA SAMBA MAOS ENTRELACADAS,Organização Social,2011,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,radio clube,assistência social; desenvolvimento e defesa de direitos,assistência social; outros
ROTARY CLUB DE SANTOS PONTA DA PRAIA,NÃO INFORMADO,Associação Privada,1996,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,gonzaga,desenvolvimento e defesa de direitos,outros
ASSOCIACAO HOSPITALAR CASA DE SAUDE DE SANTOS,NÃO INFORMADO,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,boqueirao,saúde,hospitais
IGREJA BATISTA CENTRAL EM SANTOS,IGREJA BATISTA CENTRAL DE ADORACAO,Organização Religiosa,2013,NÃO INFORMADO,NÃO INFORMADO,vila belmiro,religião,religião
PREVIDENCIA USIMINAS,NÃO INFORMADO,Associação Privada,2012,Previdência complementar fechada,Previdência complementar fechada,encruzilhada,outras atividades associativas; outros,associações de atividades não especificadas anteriormente
ACAO DE RECUPERACAO SOCIAL-ARS,NÃO INFORMADO,Associação Privada,1994,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,chico de paula,assistência social; desenvolvimento e defesa de direitos,assistência social; outros
ASS POLICIAL DE ASSISTENCIA A SAUDE DA BAIXADA SANTISTA,APAS,Associação Privada,1994,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila belmiro,outras atividades associativas; outros; saúde,associações de atividades não especificadas anteriormente
LOJA MACONICA 26 DE JANEIRO,NÃO INFORMADO,Associação Privada,1994,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila nova,desenvolvimento e defesa de direitos; religião,religião
COMUNIDADE EVANGELICA DA PAZ,NÃO INFORMADO,Associação Privada,1995,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,macuco,religião,religião
LAR ESPIRITA CAMINHO DO CRISTO,NÃO INFORMADO,Associação Privada,1995,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,vila matias,religião,religião
SOCIEDADE BIBLICA INTERNACIONAL,NÃO INFORMADO,Associação Privada,1994,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,macuco,religião,religião
ESCRITORIO CENTRAL DE ARRECADACAO E DISTRIBUICAO ECAD,NÃO INFORMADO,Associação Privada,2001,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,boqueirao,"associações patronais, profissionais e de produtores rurais",associações profissionais
FUNDACAO ASSISTENCIAL DOS SERVIDORES DO MINISTERIO DA FAZENDA,ASSEFAZ-SANTOS,Fundação Privada,1985,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,vila matias,desenvolvimento e defesa de direitos,outros
ASSOCIACAO POIESIS,NÃO INFORMADO,Associação Privada,1995,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,paqueta,assistência social; desenvolvimento e defesa de direitos,assistência social; outros
ORGAO GESTAO MAO OBRA DO TRAB PORT DO PORTO ORG SANTOS,OGMO SANTOS,Associação Privada,1995,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,vila mathias,"associações patronais, profissionais e de produtores rurais",associações profissionais
ASSOCIACAO BENEFICENTE DE ASSISTENCIA SOCIAL AO EXCEPCIONAL - CENTRO DE CONVIVENCIA MARIA HELENA - ABASE,ABASE,Associação Privada,1996,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila mathias,assistência social; desenvolvimento e defesa de direitos,outros
IGREJA BATISTA DA PONTA DA PRAIA,NÃO INFORMADO,Associação Privada,1996,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,ponta da praia,religião,religião
ASSOCIACAO COMUNIDADE DE MAOS DADAS,NÃO INFORMADO,Associação Privada,1996,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila mathias,assistência social; desenvolvimento e defesa de direitos,outros
CENTRO CULTURAL PORTUGUES,CENTRO CULTURAL PORTUGUES,Associação Privada,2010,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,centro,cultura e recreação,cultura e arte
ASSOCIACAO DESPORTIVA E CULTURAL ESTRELA,A.D.C. ESTRELA,Associação Privada,2010,Atividades esportivas não especificadas anteriormente,Produção e promoção de eventos esportivos,vila nova,cultura e recreação,esporte e recreação
ASSOCIACAO AFAM DE ASSISTENCIA FARMACEUTICA,FARMAFAM - SANTOS,Associação Privada,2011,Comércio varejista de produtos farmacêuticos para uso humano e veterinário,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",gonzaga,outras atividades associativas; outros,associações de atividades não especificadas anteriormente
ASSOCIACAO DE MANTENEDORES BENEFICIARIOS DA PETROS,AMBEP,Associação Privada,1985,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,encruzilhada,desenvolvimento e defesa de direitos,outros
FUNDACAO PETROBRAS DE SEGURIDADE SOCIAL PETROS,NÃO INFORMADO,Fundação Privada,1990,Previdência complementar fechada,Previdência complementar fechada,boqueirao,outras atividades associativas; outros,associações de atividades não especificadas anteriormente
CENTRO REDENTOR,RACIONALISMO CRISTAO,Organização Religiosa,1970,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,gonzaga,religião,religião
IGREJA UNIVERSAL DO REINO DE DEUS,NÃO INFORMADO,Organização Religiosa,1995,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,encruzilhada,religião,religião
PROVINCIA CARMELITANA DE SANTO ELIAS,CONVENTO DO CARMO,Associação Privada,1966,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,centro,religião,religião
CAMPING CLUBE DO BRASIL,NÃO INFORMADO,Associação Privada,1988,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",bertioga,cultura e recreação,esporte e recreação
CAIXA DE ASSISTENCIA DOS FUNCIONARIOS DO BANCO DO BRASIL,CLINICASSI SANTOS - SP,Associação Privada,2005,NÃO INFORMADO,NÃO INFORMADO,gonzaga,outras atividades associativas; outros; saúde,associações de atividades não especificadas anteriormente
LEGIAO DA BOA VONTADE,NUCLEO E CENTRO COMUNITARIO DE ASSISTENCIA SOCIAL,Associação Privada,1982,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,encruzilhada,assistência social,assistência social
ASSOCIACAO BENEFICIENTE E REPRESENTATIVA DOS APOSENTADO,ABRACO,Associação Privada,1983,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,campo grande,desenvolvimento e defesa de direitos,outros
"ESCRITORIO DE SERVICOS LOCAIS DE ALCOOLICOS ANONIMOS DA BAIXADA SANTISTA, LITORAL SUL E VALE DO RIBEIRA - AREA - 40",ESL - AREA - 40,Associação Privada,1982,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,centro,desenvolvimento e defesa de direitos,outros
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL,COLEGIO ADVENTISTA DE SANTOS,Associação Privada,1980,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,vila belmiro,educação e pesquisa,ensino fundamental
ASSOC BENEF E RECREATIVA EMPREGADOS STA CASA DE SANTOS,ABRESCAS,Associação Privada,1973,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,jabaquara,desenvolvimento e defesa de direitos,outros
ROTARY CLUB DE SANTOS OESTE,NÃO INFORMADO,Associação Privada,1981,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila mathias,desenvolvimento e defesa de direitos,outros
IGREJA BATISTA DO CENTENARIO,NÃO INFORMADO,Associação Privada,1983,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,macuco,religião,religião
GREMIO ESPORTIVO MESQUITA,NÃO INFORMADO,Associação Privada,1972,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,alemoa,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DE FAMILIAS DE ROTARIANOS DE SANTOS,NÃO INFORMADO,Associação Privada,1972,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,gonzaga,assistência social,assistência social
CAIXA DE ASSISTENCIA DOS ADVOGADOS DE SAO PAULO,NÃO INFORMADO,Associação Privada,1993,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,centro,"associações patronais, profissionais e de produtores rurais",associações profissionais
ORDEM DOS ADVOGADOS DO BRASIL - SECCAO DE SAO PAULO,SUB SECCAO SANTOS,Associação Privada,1975,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,centro,"associações patronais, profissionais e de produtores rurais",associações profissionais
"ISBET-INSTITUTO BRASILEIRO PRO- EDUCACAO , TRABALHO E DESENVOLVIMENTO",NÃO INFORMADO,Associação Privada,2014,NÃO INFORMADO,NÃO INFORMADO,vila belmiro,desenvolvimento e defesa de direitos,outros
CEFAS CENTRO DE FORMACAO PARA APOSTOLADO DE SANTOS,NÃO INFORMADO,Associação Privada,1973,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,jabaquara,cultura e recreação,cultura e arte
SOCIEDADE AMIGOS DA MARINHA,NÃO INFORMADO,Associação Privada,1972,Atividades de recreação e lazer não especificadas anteriormente,Outras atividades de recreação e lazer não especificadas anteriormente,encruzilhada,cultura e recreação,esporte e recreação
ROTARY CLUB SANTOS PRAIA,NÃO INFORMADO,Associação Privada,1977,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,gonzaga,desenvolvimento e defesa de direitos,outros
ASSOCIACAO FUNDO DE INCENTIVO A PESQUISA,AFIP,Associação Privada,2000,Atividades de serviços de complementação diagnóstica e terapêutica,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,encruzilhada,saúde,outros serviços de saúde
ASSOCIACAO FUNDO DE INCENTIVO A PESQUISA,AFIP,Associação Privada,2010,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,boqueirao,saúde,outros serviços de saúde
ASSOCIACAO FUNDO DE INCENTIVO A PESQUISA,AFIP,Associação Privada,2010,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,aparecida,saúde,outros serviços de saúde
LAR ESPIRITA MENSAGEIROS DA LUZ - PARALISIA CEREBRAL,NÃO INFORMADO,Associação Privada,1975,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,encruzilhada,assistência social; saúde,assistência social
ASSOCIACAO DE PAIS PRO CENTRO DE REC DE EXCEPCIONAIS,NÃO INFORMADO,Associação Privada,1974,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química","Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química não especificadas anteriormente",centro,assistência social; desenvolvimento e defesa de direitos,assistência social; outros
ASSOCIACAO BRASILEIRA DOS TERMINAIS RETROPORTUARIOS E DAS EMPRESAS TRANSPORTADORAS DE CONTAINERES,ABTTC,Associação Privada,1977,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,centro,"associações patronais, profissionais e de produtores rurais",associações empresariais e patronais
LOJA COLUNA SANTISTA CENTO E SETENTA E UM,NÃO INFORMADO,Associação Privada,1977,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,campo grande,desenvolvimento e defesa de direitos; religião,religião
ACADEMIA SANTISTA DE LETRAS,CASA DE MARTINS FONTES,Associação Privada,1977,Atividades de atendimento hospitalar,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",boqueirao,cultura e recreação,cultura e arte
ASSOCIACAO DESPORTIVA CLASSISTA COPEBRAS,NÃO INFORMADO,Associação Privada,1978,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila mathias,desenvolvimento e defesa de direitos,outros
CAMARA DOS DIRIGENTES LOJISTAS SANTOS PRAIA,CDL - SANTOS - PRAIA,Associação Privada,1975,Atividades esportivas não especificadas anteriormente,Produção e promoção de eventos esportivos,gonzaga,cultura e recreação,esporte e recreação
LIONS CLUBE SANTOS PONTA DA PRAIA,NÃO INFORMADO,Associação Privada,1976,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,aparecida,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DE INSTRUCAO POPULAR E BENEFICENCIA,COLEGIO SAO JOSE,Associação Privada,1967,Ensino médio,Ensino médio,não informado,educação e pesquisa,educação superior; ensino médio
SOCIEDADE BENEFICIENTE ISLAMICA DO LITORAL PAULISTA,NÃO INFORMADO,Associação Privada,1978,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,macuco,assistência social,assistência social
SOCIEDADE DE MELHORAMENTOS DA VILA PROGRESSO,NÃO INFORMADO,Associação Privada,1979,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,nova cintra,desenvolvimento e defesa de direitos,outros
IGREJA PRESBITERIANA INDEPENDENTE GETSEMANI,NÃO INFORMADO,Associação Privada,1979,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,vila belmiro,religião,religião
SOCIEDADE FILANTROPICA DAMASCO,NÃO INFORMADO,Associação Privada,1979,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,embare,assistência social,assistência social
GREMIO MARECHAL DEODORO,NÃO INFORMADO,Associação Privada,1979,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,macuco,cultura e recreação,esporte e recreação
ASSOCIACAO BENEFICENTE PROMOCIONAL - MOVIMENTO ALPHA DE ACAO COMUNITARIA,M.A.A.C. MOVIMENTO ALPHA DE ACAO COMUNITARIA,Associação Privada,1980,NÃO INFORMADO,NÃO INFORMADO,encruzilhada,desenvolvimento e defesa de direitos,outros
ASSOCIACAO LAR CRISTAO SAO FRANCISCO DE ASSIS,NÃO INFORMADO,Associação Privada,1979,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares",Instituições de longa permanência para idosos,macuco,assistência social,assistência social
ASSOCIACAO DE MORADORES DO CONJ HABITACIONAL ANA COSTA,NÃO INFORMADO,Associação Privada,1981,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,encruzilhada,desenvolvimento e defesa de direitos,outros
CLUBE ATLETICO SANTA CECILIA,NÃO INFORMADO,Associação Privada,1981,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",aparecida,cultura e recreação,esporte e recreação
ASSOC EMPRESARIOS CONSTRUCAO CIVIL DA BAIXADA SANTISTA,ASSECOB,Associação Privada,1981,Atividades de organizações associativas patronais e empresariais,Atividades de organizações associativas patronais e empresariais,vila mathias,"associações patronais, profissionais e de produtores rurais",associações empresariais e patronais
AUGUSTA E RESPEITAVEL LOJA SIMBOLICA  ACACIA DE SANTOS N 224,NÃO INFORMADO,Associação Privada,1981,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,estuario,desenvolvimento e defesa de direitos; religião,religião
ASSOCIACAO DOS AMIGOS DO 6 BPMI,NÃO INFORMADO,Associação Privada,1982,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,ponta da praia,cultura e recreação,esporte e recreação
ASSOCIACAO DAS IGREJAS BATISTAS DO LITORAL PAULISTA,SEMINARIO TEOLOGICO BATISTA DO LITORAL PAULISTA,Associação Privada,2004,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,campo grande,religião,religião
IGREJA BATISTA DO MARAPE,NÃO INFORMADO,Associação Privada,1977,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,marape,religião,religião
GRUPO ESPIRITA CRISTAO DE SANTOS,NÃO INFORMADO,Associação Privada,1978,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,estuario,religião,religião
GRUPO ESPIRITA CRISTAO DE SANTOS,CRECHE LAR ESCOLA IRMA SCHEILA,Associação Privada,1989,Educação infantil - pré-escola,Educação infantil - pré-escola,estuario,religião,religião
ASSOCIACAO DO PESSOAL TECNICO ADMINISTRATIVO DA CODESP,ATAC,Associação Privada,1985,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila mathias,desenvolvimento e defesa de direitos,outros
LAR EVANGELICO DE AMPARO A VELHICE,NÃO INFORMADO,Associação Privada,1983,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares",Instituições de longa permanência para idosos,vila sao jorge,assistência social,assistência social
MUSEU DE ARTE SACRA DE SANTOS,NÃO INFORMADO,Associação Privada,1984,"Atividades de museus e de exploração, restauração artística e conservação de lugares e prédios históricos e atrações similares",Atividades de museus e de exploração de lugares e prédios históricos e atrações similares,morro de sao bento,saúde,outros serviços de saúde
IGREJA BATISTA MEMORIAL DE SANTOS,NÃO INFORMADO,Associação Privada,1986,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,campo grande,religião,religião
PRIMEIRA IGREJA BATISTA DE SANTOS,NÃO INFORMADO,Associação Privada,1986,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,centro,religião,religião
ASSOCIACAO DOS ADVOGADOS DE SANTOS,NÃO INFORMADO,Associação Privada,1984,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,gonzaga,"associações patronais, profissionais e de produtores rurais",associações profissionais
MINISTERIO EVANGELICO CRISTO E A VIDA,NÃO INFORMADO,Associação Privada,1986,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,encruzilhada,religião,religião
CLUBE DO PELICANO,NÃO INFORMADO,Associação Privada,1985,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila mathias,desenvolvimento e defesa de direitos,outros
ASSOCIACAO RENATINHO,NÃO INFORMADO,Associação Privada,1984,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,morro da nova cintra,assistência social,assistência social
ASSOCIACAO DOS EX-ALUNOS DO COLEGIO STELLA MARIS,AEA STELLA MARIS,Associação Privada,1986,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,vila mathias,educação e pesquisa,outras formas de educação/ensino
ASSOCIACAO DOS EX-ALUNOS DO COLEGIO STELLA MARIS,NÃO INFORMADO,Associação Privada,1995,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,jabaquara,assistência social,assistência social
ASSOCIACAO DOS EX-ALUNOS DO COLEGIO STELLA MARIS,CENTRO DE CONVIVENCIA SANTA RITA,Associação Privada,1995,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,boqueirao,assistência social,assistência social
ASSOCIACAO DOS EX-ALUNOS DO COLEGIO STELLA MARIS,CRECHE MADRE ALIX,Associação Privada,1995,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,vl matias,educação e pesquisa,educação infantil
ASSOC. DOS COND. AUTON. DE TAXIS DE SANTOS RADIO TAXI,ASSOCIACAO DE RADIO TAXI,Associação Privada,1986,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,vila mathias,"associações patronais, profissionais e de produtores rurais",associações profissionais
FUNDACAO 'DOM DAVID',FUNDACAO 'DOM DAVID',Associação Privada,1987,Atividades de serviços pessoais não especificadas anteriormente,Outras atividades de serviços pessoais não especificadas anteriormente,campo grande,assistência social,assistência social
ASSOCIACAO DE PAIS AMIGOS E EDUCADORES DE AUTISTAS,APAEA,Associação Privada,1987,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química","Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química não especificadas anteriormente",vila mathias,assistência social; educação e pesquisa,ensino fundamental
CASA VO BENEDITA,NÃO INFORMADO,Associação Privada,1987,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,areia branca,assistência social,assistência social
CASA VO BENEDITA,CASA VO BENEDITA - UNIDADE II,Associação Privada,2009,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,vila nova,assistência social,assistência social
IGREJA BATISTA DO CALVARIO,CALVARIO,Associação Privada,1987,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,macuco,religião,religião
ASSOCIACAO BRAZ CUBAS,BRAZ CUBAS,Associação Privada,1987,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,encruzilhada,desenvolvimento e defesa de direitos,outros
ASSOCIACAO OND'AZUL RADIOTAXI DOS MOTORISTAS DE SANTOS,NÃO INFORMADO,Associação Privada,1987,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,aparecida,desenvolvimento e defesa de direitos,outros
SOCIEDADE EDUCATIVA E BENEFICENTE ESTRELA DA ESPERANCA,STAR OF HOPE E ESTRELA DA ESPERANCA,Associação Privada,1971,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,embare,desenvolvimento e defesa de direitos,outros
''ASSOCIACAO DE RETRANSMISSAO DE ENSINO TELEPRESENCIAL DA BAIXADA SANTISTA'',LFG - SANTOS,Associação Privada,2007,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,gonzaga,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO MUNDO NOVO,NÃO INFORMADO,Associação Privada,2006,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,jardim radio clube,educação e pesquisa,educação infantil
ASSOCIACAO NACIONAL DE DESENVOLVIMENTO ESPORTE E EDUCACAO - ANDEE,NÃO INFORMADO,Associação Privada,2006,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,gonzaga,desenvolvimento e defesa de direitos,outros
VIDAS RECICLADAS,VIR,Associação Privada,2004,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,vila mathias,assistência social; outras atividades associativas,assistência social; associações de atividades não especificadas anteriormente
CRECHE COMUNITARIA AMIGOS,NÃO INFORMADO,Associação Privada,2007,Educação infantil - creche,Educação infantil - creche,morro so bento,educação e pesquisa,educação infantil
CRECHE COMUNITARIA AMIGOS,CRECHE AMIGOS - UNIDADE II,Associação Privada,2010,Educação infantil - creche,Educação infantil - creche,vila sao jorge,educação e pesquisa,educação infantil
FUNDACAO SAO FRANCISCO XAVIER,CENTRO DE ATENDIMENTO AO CLIENTE,Fundação Privada,2003,Atividades de atenção à saúde humana não especificadas anteriormente,Outras atividades de atenção à saúde humana não especificadas anteriormente,vila mathias,saúde,outros serviços de saúde
ABRACCII - ASSOCIACAO BRASILEIRA DE APOIO E COMBATE AO CANCER INFANTO JUVENIL,ABRACCII,Associação Privada,2014,NÃO INFORMADO,NÃO INFORMADO,vila mathias,desenvolvimento e defesa de direitos,outros
