id_osc,tx_razao_social_osc,tx_nome_fantasia_osc,cd_natureza_juridica_osc,tx_nome_natureza_juridica,ano_inicio,div_cnae20_corrigido,grp_cnae20_corrigido,clas_cnae20_corrigido,tx_nome_classe_atividade_economica,sbcl_cnae_corrigido,tx_nome_subclasse_atividade_economica,tx_bairro,edmu_cd_municipio,edmu_nm_municipio,eduf_cd_uf,eduf_sg_uf,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
608021,SOCIEDADE VISCONDE DE S LEOPOLDO,UNISANTOS FAC ARQUITETURA E URBANISMO DE SANTOS,3999,Associação Privada,1970.0,85.0,853.0,85317.0,Educação superior - graduação,8531700.0,Educação superior - graduação,BOQUEIRAO,3548500.0,Santos,35.0,SP,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
608022,SOCIEDADE VISCONDE DE S LEOPOLDO,UNISANTOS-CAMPUS VILA MATHIAS,3999,Associação Privada,1970.0,85.0,853.0,85317.0,Educação superior - graduação,8531700.0,Educação superior - graduação,ENCRUZILHADA,3548500.0,Santos,35.0,SP,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
608023,SOCIEDADE VISCONDE DE S LEOPOLDO,LICEU SANTISTA,3999,Associação Privada,1978.0,85.0,853.0,85317.0,Educação superior - graduação,8531700.0,Educação superior - graduação,JOSE MENINO,3548500.0,Santos,35.0,SP,Educação e pesquisa,Ensino fundamental
608024,CASA DA MADEIRA,,3999,Associação Privada,1978.0,93.0,931.0,93123.0,"Clubes sociais, esportivos e similares",9312300.0,"Clubes sociais, esportivos e similares",VILA MATHIAS,3548500.0,Santos,35.0,SP,Cultura e recreação,Esporte e recreação
608025,ASSOCIACAO MARIA IMACULADA,ESCOLA PROFISSIONAL MARIAIMACULADA,3999,Associação Privada,1971.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,BOQUEIRAO,3548500.0,Santos,35.0,SP,Assistência social; Desenvolvimento e defesa de direitos,Assistência social; Outros
608026,CAMARA DE DIREGENTES LOJISTAS DE SANTOS,,3999,Associação Privada,1969.0,94.0,941.0,94111.0,Atividades de organizações associativas patronais e empresariais,9411100.0,Atividades de organizações associativas patronais e empresariais,CENTRO,3548500.0,Santos,35.0,SP,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
608027,CONSELHO CENTRAL DE SANTOS DA SOCIEDADE DE SAO VICENTE DE PAULO,,3999,Associação Privada,1969.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,MACUCO,3548500.0,Santos,35.0,SP,Assistência social; Desenvolvimento e defesa de direitos,Assistência social; Outros
608067,ASSISTENCIA SOCIAL DA PONTA DA PRAIA,,3999,Associação Privada,1989.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,PONTA DA PRAIA,3548500.0,Santos,35.0,SP,Educação e pesquisa,Educação infantil
608071,ASSOCIACAO EDUCATIVA RAMOS LOPEZ,,3999,Associação Privada,1976.0,85.0,851.0,85121.0,Educação infantil - pré-escola,8512100.0,Educação infantil - pré-escola,GONZAGA,3548500.0,Santos,35.0,SP,Educação e pesquisa,Educação infantil
608072,ASSOCIACAO ESPIRITA SEARADE JESUS,,3999,Associação Privada,1969.0,87.0,873.0,87301.0,Atividades de assistência social prestadas em residências coletivas e particulares,8730199.0,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,BOQUEIRAO,3548500.0,Santos,35.0,SP,Assistência social; Educação e pesquisa; Religião,Religião
608073,SOCIEDADE UNIAO OPERARIA DE SANTOS,ESCOLA MODELO,3999,Associação Privada,1970.0,94.0,949.0,94936.0,Atividades de organizações associativas ligadas à cultura e à arte,9493600.0,Atividades de organizações associativas ligadas à cultura e à arte,VILA MATIAS,3548500.0,Santos,35.0,SP,Cultura e recreação; Desenvolvimento e defesa de direitos,Cultura e arte
608116,CLUBE DE PESCA DE SANTOS,,3999,Associação Privada,1969.0,93.0,931.0,93123.0,"Clubes sociais, esportivos e similares",9312300.0,"Clubes sociais, esportivos e similares",PONTA DA PRAIA,3548500.0,Santos,35.0,SP,Cultura e recreação,Esporte e recreação
608117,SOCIEDADE VISCONDE DE S LEOPOLDO,,3999,Associação Privada,1966.0,85.0,853.0,85317.0,Educação superior - graduação,8531700.0,Educação superior - graduação,ENCRUZILHADA,3548500.0,Santos,35.0,SP,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
608118,SOCIEDADE VISCONDE DE S LEOPOLDO,UNISANTOS FAC CATOLICA DE DIREITO DE SANTOS,3999,Associação Privada,1966.0,85.0,853.0,85317.0,Educação superior - graduação,8531700.0,Educação superior - graduação,BOQUEIRAO,3548500.0,Santos,35.0,SP,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
608130,CLUBE SIRIO LIBANES DE SANTOS,,3999,Associação Privada,1977.0,93.0,931.0,93123.0,"Clubes sociais, esportivos e similares",9312300.0,"Clubes sociais, esportivos e similares",GONZAGA,3548500.0,Santos,35.0,SP,Cultura e recreação,Esporte e recreação
608131,CENTRO CULTURAL BRASIL ESTADOS UNIDOS,CCBEU,3999,Associação Privada,1966.0,85.0,859.0,85937.0,Ensino de idiomas,8593700.0,Ensino de idiomas,GONZAGA,3548500.0,Santos,35.0,SP,Educação e pesquisa,Outras formas de educação/ensino
608133,ASSOCIACAO DE CULTURA FRANCO BRASILEIRA,,3999,Associação Privada,1966.0,85.0,859.0,85996.0,Atividades de ensino não especificadas anteriormente,8599699.0,Outras atividades de ensino não especificadas anteriormente,JOSE MENINO,3548500.0,Santos,35.0,SP,Educação e pesquisa,Outras formas de educação/ensino
608134,SOCIEDADE PORTUGUESA DE BENEFICENCIA,HOSPITAL SANTO ANTONIO,3999,Associação Privada,1966.0,,,,,,,VILA BELMIRO,3548500.0,Santos,35.0,SP,Saúde,Hospitais
608135,ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTOS,,3999,Associação Privada,1997.0,86.0,863.0,86305.0,Atividades de atenção ambulatorial executadas por médicos e odontólogos,8630503.0,Atividade médica ambulatorial restrita a consultas,ENCRUZILHADA,3548500.0,Santos,35.0,SP,Saúde,Outros serviços de saúde
608180,SOCIEDADE VISCONDE DE S LEOPOLDO,UNISANTOS-EDITORA UNIVERSITARIA E INST.PESQ.CIENTIFICA,3999,Associação Privada,1978.0,85.0,853.0,85317.0,Educação superior - graduação,8531700.0,Educação superior - graduação,VILA NOVA,3548500.0,Santos,35.0,SP,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
608181,SOCIEDADE VISCONDE DE S LEOPOLDO,UNIVERSIDADE CATOLICA DE SANTOS,3999,Associação Privada,1986.0,85.0,853.0,85317.0,Educação superior - graduação,8531700.0,Educação superior - graduação,VILA NOVA,3548500.0,Santos,35.0,SP,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
608182,SOCIEDADE VISCONDE DE S LEOPOLDO,UNISANTOS - RESTAURANTE-ESCOLA,3999,Associação Privada,1995.0,85.0,853.0,85317.0,Educação superior - graduação,8531700.0,Educação superior - graduação,VALONGO,3548500.0,Santos,35.0,SP,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
608183,CONSELHO CENTRAL DE SANTOS DA SOCIEDADE DE SAO VICENTE DE PAULO,ASSISTENCIA VICENTINA DE SANTOS,3999,Associação Privada,2013.0,,,,,,,MACUCO,3548500.0,Santos,35.0,SP,Assistência social; Desenvolvimento e defesa de direitos,Outros
608184,CONSELHO CENTRAL DE SANTOS DA SOCIEDADE DE SAO VICENTE DE PAULO,CRECHE SANTO ANTONIO,3999,Associação Privada,2013.0,,,,,,,ZONA NOROESTE,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
608185,FRATERNIDADE ESPIRITA DE EXPANSAO CRISTA,,3999,Associação Privada,1969.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,MACUCO,3548500.0,Santos,35.0,SP,Religião,Religião
608186,A A PORTUGUESA,,3999,Associação Privada,1969.0,93.0,931.0,93191.0,Atividades esportivas não especificadas anteriormente,9319101.0,Produção e promoção de eventos esportivos,VILA MATHIAS,3548500.0,Santos,35.0,SP,Cultura e recreação,Esporte e recreação
