tx_razao_social_osc,tx_nome_fantasia_osc,tx_nome_natureza_juridica,ano_inicio,tx_nome_classe_atividade_economica,tx_nome_subclasse_atividade_economica,tx_bairro,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
MINISTERIO EVANGELICO IGREJA ULTIMA HORA,IGREJA DA ULTIMA HORA,Organização Religiosa,1997.0,,,BOQUEIRAO,Religião,Religião
CAMPOS MELLO F C,,Associação Privada,1971.0,,,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
PARA FUTEBOL CLUBE,,Associação Privada,1971.0,,,CAMPO GRANDE,Cultura e recreação,Esporte e recreação
CONGREGACAO ESPIRITA IRMAO SETE FLECHAS E IRMAO RAMATIS,,Associação Privada,1993.0,,,JARDIM BOM RETIRO,Religião,Religião
ARCA - ASSOCIACAO DE RELACAO CULTURAL E APERFEICOAMENTO,ASSOCIACAO DO REPARTIR CRISTAO EM AMOR,Associação Privada,1998.0,,,MACUCO,Religião,Religião
GRUPO PRAIANO DE CW,GPCW,Associação Privada,1982.0,,,ESTUARIO,Cultura e recreação,Esporte e recreação
LIGA DESPORTIVA SANTISTA - LIDESAN,LIDESAN,Associação Privada,1999.0,,,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
CONFEDERACAO NACIONAL DE FUTEBOL DE SALAO,ABFS,Associação Privada,1996.0,,,VILA BELMIRO,Cultura e recreação,Esporte e recreação
ASSOCIACAO DOS PILOTOS DE KART DA BAIXADA SANTISTA,APKS,Associação Privada,1996.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
LOJA UNIAO SANTISTA NUMERO 105,,Associação Privada,1970.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
APOLO ATLETICO CLUBE,,Associação Privada,1991.0,,,GONZAGA,Cultura e recreação,Esporte e recreação
SOCIEDADE AMIGOS DO BOSQUE DA ORLA MODULO 19,SABOR,Associação Privada,1990.0,,,BERTIOGA,Desenvolvimento e defesa de direitos,Outros
CENTRO ESPANHOL E REPATRIACAO DE SANTOS,,Associação Privada,1966.0,,,GONZAGA,Cultura e recreação; Religião,Religião
UNIAO CIVICA FEMININA DE SANTOS,,Associação Privada,1969.0,,,GONZAGA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS DETETIVES PARTICULARES DA B SANTISTA,ADPBS,Associação Privada,1986.0,,,CENTRO,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
GREMIO ESTUDANTIL ANTONIO PIMENTEL,,Associação Privada,1990.0,,,VILA MATHIAS,Cultura e recreação,Esporte e recreação
GREMIO RECREATIVO TALISMA,GREMIO RECREATIVO TALISMA,Associação Privada,1988.0,,,CENTRO,Cultura e recreação,Esporte e recreação
ASSOCIACAO DOS EX. COMBATENTES DO BRASIL,ASSOCIACAO DOS EX COMBATENTES DO BRASIL,Associação Privada,1965.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
UNIAO DOS EXECUTIVOS DO LITORAL PAULISTA-UELPA,,Associação Privada,2000.0,,,GONZAGA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO IRMANDADE DE SAINT GERMAIN,IRMANDADE DE SAINT GERMAIN,Associação Privada,1998.0,,,GONZAGA,Desenvolvimento e defesa de direitos,Outros
