razao_social_osc, nome_fantasia_osc, natureza_juridica, ano_inicio, classe_atividade_economica, subclasse_atividade_economica, bairro, area_atuacao, subarea_atuacao
XAVIER PINHEIRO DE SANTOS ASSOCIACAO,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,VILA MATHIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO  SANGUE JOVEM SANTOS,SANGUE JOVEM SANTOS,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,CENTRO,Cultura e recreação,Cultura e arte
SAO PEDRO DE SANTOS ASSOCIACAO,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,MARAPE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
BERNARDINO DE CAMPOS DE SANTOS ASSOCIACAO,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,CAMPO GRANDE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
SAO MATEUS DE SANTOS ASSOCIACAO,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,GONZAGA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DE MORADORES E AMIGOS PE NA AREIA,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,JOSE MENINO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
AMAL SHRINERS CLUBE INTERNACIONAL DO LITORAL,AMAL SHRINERS CLUBE DO LITORAL,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,EMBARE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
INSTITUTO XAMANICO CONSCIENCIA CRIATIVA,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,APARECIDA,Religião,Religião
TENDA DE UMBANDA PAI JOAQUIM DE ANGOLA & PAI BENEDITO DE ARUANDA,NÃO INFORMADO,Organização Religiosa,2020.0,NÃO INFORMADO,NÃO INFORMADO,APARECIDA,Religião,Religião
PRIMEIRA IGREJA BATISTA DA LAGOINHA EM SANTOS,PRIMEIRA IGREJA BATISTA DA LAGOINHA EM SANTOS,Organização Religiosa,2020.0,NÃO INFORMADO,NÃO INFORMADO,ENCRUZILHADA,Religião,Religião
AMILES - ASSOCIACAO DE MINISTROS E LIDERES EVANGELICOS DE SANTOS,AMILES,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,VILA NOVA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
INSTITUTO SINDEST,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,MACUCO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO BRASILEIRA DOS USUARIOS DO SISTEMA UNICO DE SAUDE - ABUSUS,NÃO INFORMADO,Associação Privada,2019.0,NÃO INFORMADO,NÃO INFORMADO,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ROTARY CLUB DE SANTOS - BRAS CUBAS,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,MACUCO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO OSCAR KARATE-DO EDUCACIONAL,ASSOCIACAO OSCAR KARATE-DO EDUCACIONAL,Associação Privada,2019.0,NÃO INFORMADO,NÃO INFORMADO,CASTELO,Cultura e recreação,Esporte e recreação
ASSOCIACAO BENEFICENTE TRIPULANTES DO BEM,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
"ASSOCIACAO DE MORADORES DA RUA JOAO CARLOS DA SILVA E ADJACENCIAS DO BAIRRO SAO MANOEL, SANTOS-SP",NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,SAO MANOEL,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO AGITO ESPACO DE VIVENCIA,ASSOCIACAO AGITO ESPACO DE VIVENCIA,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,PONTA DA PRAIA,Cultura e recreação,Cultura e arte
ASSOCIACOES FRATERNAS SAO JOAO   ASFRASJ,ASFRASJ,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,VILA NOVA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
IGREJA BATISTA PENIEL,IGREJA BATISTA PENIEL - VILA BELMIRO,Organização Religiosa,2018.0,NÃO INFORMADO,NÃO INFORMADO,VILA BELMIRO,Religião,Religião
IGREJA BATISTA PENIEL,NÃO INFORMADO,Organização Religiosa,2019.0,NÃO INFORMADO,NÃO INFORMADO,GONZAGA,Religião,Religião
UNAFISCO  NACIONAL - ASSOCIACAO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL,UNAFISCO SECCIONAL SANTOS,Associação Privada,2018.0,NÃO INFORMADO,NÃO INFORMADO,POMPEIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO ATLETICA ACADEMICA ALEXANDRE DE GUSMAO,NÃO INFORMADO,Associação Privada,1985.0,NÃO INFORMADO,NÃO INFORMADO,BOQUEIRAO,Cultura e recreação,Esporte e recreação
ASSOCIACAO DA IRMANDADE DA SANTA CASA DE MISERICORDIA DE PACAEMBU,AMBULATORIO MEDICO DE ESPECIALIDADES-AME SANTOS,Associação Privada,2018.0,NÃO INFORMADO,NÃO INFORMADO,APARECIDA,Saúde,Outros serviços de saúde
ASSOCIACAO DA IRMANDADE DA SANTA CASA DE MISERICORDIA DE PACAEMBU,CENTRO DE MEDICINA DE REABILITACAO LUCY MONTORO-SANTOS,Associação Privada,2019.0,NÃO INFORMADO,NÃO INFORMADO,APARECIDA,Saúde,Outros serviços de saúde
ASSOCIACAO DA IRMANDADE DA SANTA CASA DE MISERICORDIA DE PACAEMBU,POLO DE A INT EM SAUDE MENTAL B SANTISTA - PAI-BAIXADA,Associação Privada,2019.0,NÃO INFORMADO,NÃO INFORMADO,BOQUEIRAO,Saúde,Hospitais
UNIAO CENTRAL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA,IASD SANTOS - SANTOS,Organização Religiosa,2018.0,NÃO INFORMADO,NÃO INFORMADO,ENCRUZILHADA,Religião,Religião
UNIAO CENTRAL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA,IASD DE VILA SAO JORGE - SANTOS,Organização Religiosa,2018.0,NÃO INFORMADO,NÃO INFORMADO,SAO JORGE,Religião,Religião
SANTOS FUTEBOL CLUBE,CASA MENINOS DA VILA,Associação Privada,2019.0,NÃO INFORMADO,NÃO INFORMADO,VILA BELMIRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTOS,PRONTO SOCORRO SANTA CASA DE SANTOS,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,JABAQUARA,Saúde,Outros serviços de saúde
JESUS A CHAVE DE UMBANDA,NÃO INFORMADO,Associação Privada,1970.0,NÃO INFORMADO,NÃO INFORMADO,SANTA MARIA,Religião,Religião
SOCIEDADE BENEF ISRAELITABRAS HOSPITAL ALBERT EINSTEIN,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,GONZAGA,Saúde,Outros serviços de saúde
SPDM - ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,SPDM - PAIS - UPA ZONA NOROESTE,Associação Privada,2019.0,NÃO INFORMADO,NÃO INFORMADO,AREIA BRANCA,Saúde,Hospitais
ASSOCIACAO DE AMOR A CRIANCA ARCANJO RAFAEL,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,CASTELO,Assistência social,Assistência social
ASSOCIACAO BENEF DA G PORT DA CIA DOCAS DO EST S PAULO,NÃO INFORMADO,Associação Privada,1971.0,NÃO INFORMADO,NÃO INFORMADO,CENTRO,Desenvolvimento e defesa de direitos,Outros
CENTRO ESPIRITA DE UMBANDA CABOCLO PENA VERDE,NÃO INFORMADO,Associação Privada,1973.0,NÃO INFORMADO,NÃO INFORMADO,EMBARE,Religião,Religião
ASSOCIACAO IBSEN MONFORT,ASSOCIACAO IBSEN MONFORT,Associação Privada,2012.0,NÃO INFORMADO,NÃO INFORMADO,GONZAGA,Cultura e recreação,Esporte e recreação
INSTITUTO PRO-ACAO ESPORTE E MEIO AMBIENTE,IPAEMA,Associação Privada,2016.0,NÃO INFORMADO,NÃO INFORMADO,MARAPE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
TENDA ESPIRITA VOVO JOANA D'ANGOLA E CABOCLO PENA VERDE,NÃO INFORMADO,Organização Religiosa,2019.0,NÃO INFORMADO,NÃO INFORMADO,SABOO,Religião,Religião
ASSOCIACAO VELHA GUARDA DO JARDIM BOM RETIRO,NÃO INFORMADO,Associação Privada,2019.0,NÃO INFORMADO,NÃO INFORMADO,SANTA MARIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO MINISTERIO INTERDENOMINACIONAL CASA MISSIONARIA JESUS TE AMA,CASA MISSIONARIA,Associação Privada,2019.0,NÃO INFORMADO,NÃO INFORMADO,CENTRO,Desenvolvimento e defesa de direitos,Outros
VIDAS RECICLADAS,VILA GILDA SANTOS,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,RADIO CLUBE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DOS TRABALHADORES APOSENTADOS EM ESTABELECIMENTOS DE SERVICO DE SAUDE DE SANTOS E LITORAIS NORTE E SUL,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
